"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"524","Spectroscopic Studies of Electronic Processes in Molecules","01/15/1975","06/30/1978","64900","Continuing grant","03090105","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","01/16/1975","12/17/1976","7502617","Stewart","Strickler","01/15/1975","Principal Investigator","University of Colorado at Boulder","Boulder","803031058","3034926221","3100 Marine Street, Room 481","United States","Colorado","CO",NA,NA,NA,NA,NA,"1915","EXPERIMENTAL CHEMICAL PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Lyman-Alpha Sources For Plasma Studies","09/15/1975","07/31/1979","153600","Standard Grant","03030502","Direct For Mathematical & Physical Scien",NA,"name not available","09/29/1975","02/28/1977","7502618","Thomas","McIlrath","09/15/1975","Co-Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141","3014056269","3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD","David","Koopman","tjm@ipst.umd.edu","09/15/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","Magnetospheric Substorms","04/01/1975","11/30/1979","172300","Standard Grant","06020203","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","04/10/1975","11/02/1978","7502621","Kinsey","Anderson","04/01/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","Ethnicity and Change","05/01/1975","10/31/1977","78100","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","01/30/1975","01/30/1975","7502626","Herbert","Lewis","05/01/1975","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218","6082623822","21 North Park Street","United States","Wisconsin","WI",NA,NA,"hslewis@facstaff.wisc.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","Structures and Kinetics in Gas - Surface Interactions","01/01/1975","06/30/1977","74900","Standard Grant","03070007","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/13/1975","01/13/1975","7502627","Lanny","Schmidt","01/01/1975","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN",NA,NA,"schmidt@cems.umn.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Molecular Motion and Energy Transport in Molecular Aggregates","01/01/1976","06/30/1979","70100","Standard Grant","03070007","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/06/1975","01/05/1978","7502628","Paras","Prasad","01/01/1976","Principal Investigator","SUNY at Buffalo","Amherst","142282567","7166452634","520 Lee Entrance","United States","New York","NY",NA,NA,"pnprasad@acsu.buffalo.edu",NA,NA,"1762","SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Impact Considerations of a National 55 Mph Speed Limit (C-934 to 1)","08/12/1974","04/30/1975","38959","BOA/Task Order","01080100","OFFICE OF THE DIRECTOR","Office of Planning and Assessment","name not available","08/28/1974","05/23/1975","7502632","Hans","Schechter","08/12/1974","Principal Investigator","BDM CORPORATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","Policy Assessment of the Fifty-Five Miles Per Hour Limit (C925 - T.O. 2)","08/12/1974","12/31/1974","44031","BOA/Task Order","01080100","Office Of The Director","Office of Planning and Assessment","name not available","09/04/1974","09/04/1974","7502633","Robert","Ouellette","08/12/1974","Principal Investigator","Mitre Corporation Virginia","McLean","221027508","7039834017","7515 Colshire Drive","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","Deep Ocean Environmental Studies of Marine Bacteria","12/15/1974","05/31/1977","97500","Continuing grant","06040301","Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/09/1975","01/16/1976","7502635","Rita","Colwell","12/15/1974","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141","3014056269","3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,"rcolwell@umd.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Improvement in the Measurement of Allegheny Observatory Trigonometric Parallaxes of Stars","05/15/1975","07/31/1979","123900","Standard Grant","03020400","Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","05/21/1975","05/08/1979","7502641","George","Gatewood","05/15/1975","Principal Investigator","University of Pittsburgh","Pittsburgh","152132303","4126247400","University Club","United States","Pennsylvania","PA",NA,NA,"gatewood@pitt.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","Electrochemical Reactions in Electroslag Remelting","01/01/1975","09/30/1977","80700","Standard Grant","03070004","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/21/1975","07/19/1977","7502645","Thomas","King","01/01/1975","Principal Investigator","Massachusetts Institute of Technology","Cambridge","021394301","6172531000","77 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,"1771","METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","Thresholds For Radiation-Induced Cavitation","07/01/1975","12/31/1976","28500","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","05/07/1975","05/07/1975","7502647","Boa-Teh","Chu","07/01/1975","Co-Principal Investigator","Yale University","New Haven","065208327","2037854689","Office of Sponsored Projects","United States","Connecticut","CT","Robert","Apfel","robert.apfel@yale.edu","07/01/1975","Principal Investigator","1406","THERMAL TRANSPORT PROCESSES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","Low-Temperature Transport Phenomena in Metals","12/15/1974","07/31/1977","61000","Continuing grant","03070603","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/10/1974","06/09/1977","7502651","M.","Yaqub","12/15/1974","Principal Investigator","Ohio State University","Columbus","432101016","6146888735","Office of Sponsored Programs","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","""Collaborative Research: Continuation of a Study of a Jet Membrane Separation Process""","09/15/1974","02/28/1977","55700","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","09/25/1974","09/25/1974","7502655","B.","Hamel","09/15/1974","Principal Investigator","Drexel University","Philadelphia","191021119","2158955849","1505 Race St, 8th Floor","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,"1443","FLUID DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","Sulfur Fixation During Coal Gasification and Carbonization","03/01/1975","02/28/1978","161900","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","03/17/1975","07/29/1977","7502665","Reinhardt","Schuhmann","03/01/1975","Principal Investigator","Purdue University","West Lafayette","479072114","7654941055","Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","Atmospheric Impact of Major Sources and Consumers of Energy","10/01/1974","02/29/1980","1443864","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","09/24/1974","01/31/1979","7502667","William","Zoller","10/01/1974","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141","3014056269","3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Energy Related Research at Cyclotron Laboratory","05/01/1975","10/31/1976","65000","Standard Grant","03010400","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","04/25/1975","04/25/1975","7502675","Sam","Austin","05/01/1975","Principal Investigator","Michigan State University","East Lansing","488242600","5173555040","Office of Sponsored Programs","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","Recent Evolution of Homo Sapiens in Sub-Saharan Africa","06/01/1975","08/31/1979","43300","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","02/26/1975","10/20/1978","7502679","G. Philip","Rightmire","06/01/1975","Principal Investigator","SUNY at Binghamton","BINGHAMTON","139026000","6077776136","4400 VESTAL PKWY E","United States","New York","NY",NA,NA,"gpright@binghamton.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Fundamental Phenomena in the Interaction of Lasers With Matter","04/01/1976","09/30/1977","45000","Standard Grant","03010500","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","04/09/1976","04/09/1976","7502690","Keith","Brueckner","04/01/1976","Principal Investigator","University of California-San Diego","La Jolla","920930621","8585344896","Office of Contract & Grant Admin","United States","California","CA","William","Thompson",NA,"04/01/1976","Co-Principal Investigator","1276","OTHER THEORETICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","Study of a Process For H2s Removal Suitable For Application In Coal Gasification","05/15/1975","10/31/1978","48000","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","05/12/1975","07/15/1977","7502707","Scott","Lynn","05/15/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","Steady State Analysis of Communication Circuits","03/01/1975","08/31/1977","52300","Standard Grant","05040003","Direct For Computer & Info Scie & Enginr","Division of Microelectronic Information Processing Systems","name not available","02/20/1975","02/20/1975","7502708","Timothy","Trick","03/01/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN","618207473","2173332187","SUITE A","United States","Illinois","IL",NA,NA,"trick@ece.uiuc.edu",NA,NA,"1453","COMMU SYSTEMS & SIGNAL PROCESS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","Research in High Energy Plasmas","03/01/1975","12/31/1978","180000","Standard Grant","07050000","Directorate For Engineering","Div Of Engineering Education and Centers","name not available","03/03/1975","07/21/1977","7502709","Michael","Lieberman","03/01/1975","Co-Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA","Allan","Lichtenberg","lieber@eecs.berkeley.edu","03/01/1975","Principal Investigator",NA,NA,NA,NA,"ajl@eecs.berkeley.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","Band Structure of Dilute Alloys","12/01/1974","12/31/1978","116600","Standard Grant","03070003","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/18/1974","05/31/1978","7502716","William","Gordon","12/01/1974","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Laboratory Investigation of Two Important Regions of the Atmospheric Spectrum For Aurora and Airglow","01/01/1975","09/30/1979","160000","Standard Grant","06020201","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/13/1975","04/18/1977","7502717","W.","Benesch","01/01/1975","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141","3014056269","3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","Upper Mississippian Fishes of the Bear Gulch Limestones, Central Montana","10/01/1974","03/31/1977","35000","Standard Grant","08010207","Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/03/1974","10/03/1974","7502720","Richard","Lund","10/01/1974","Principal Investigator","Adelphi University","Garden City","115304299","5162948700","South Avenue","United States","New York","NY",NA,NA,"rdicklund3@cs.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Doctoral Dissertation Research : a Study of Saturation Anomalies in Near-Surface Oceanic Methane Distributions","12/01/1974","05/31/1977","11300","Standard Grant","06040302","Directorate For Geosciences","Division Of Ocean Sciences","name not available","11/27/1974","11/27/1974","7502731",NA,"DATA NOT AVAILABLE","12/01/1974","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE","025431041","5082893542","183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","Amine Catalysis Via Iminium Ion Formation","12/01/1974","05/31/1978","99000","Continuing grant","03090102","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","11/25/1974","11/15/1976","7502737","Thomas","Spencer","12/01/1974","Principal Investigator","Dartmouth College","HANOVER","037551404","6036463007","OFFICE OF SPONSORED PROJECTS","United States","New Hampshire","NH",NA,NA,"taspen@Dartmouth.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","Investigation of Volatile Sulfur Compounds in Natural Waters","02/15/1975","01/31/1977","28500","Standard Grant","06040302","Directorate For Geosciences","Division Of Ocean Sciences","name not available","02/03/1975","02/03/1975","7502752","E.","Green","02/15/1975","Principal Investigator","University of Maine","ORONO","044695717","2075811484","5717 Corbett Hall","United States","Maine","ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Transport of Crude Oil As Oil-In-Water Emulsions","02/01/1975","09/30/1978","37400","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","01/29/1975","07/27/1977","7502779","Jacques","Zakin","02/01/1975","Principal Investigator","Missouri University of Science and Technology","Rolla","654096506","5733414134","300 W 12th Street","United States","Missouri","MO",NA,NA,"Zakin.1@osu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Sorption Control of Diffusion and Relaxation in Polymers","08/01/1975","01/31/1978","58800","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","08/01/1975","08/01/1975","7502780","Charles","Rogers","08/01/1975","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,"cer@po.cwru.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Energy Transfer Processes in Gas Surface Collisions","01/01/1976","06/30/1979","40900","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","01/15/1976","08/07/1978","7502782","Howard","Saltsburg","01/01/1976","Principal Investigator","University of Rochester","Rochester","146270140","5852754031","518 HYLAN, RC BOX 270140","United States","New York","NY",NA,NA,NA,NA,NA,"1414","INTERFAC PROCESSES & THERMODYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
