"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"405",405,"Theory of Condensed Matter","09/15/1973","03/31/1978",95700,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/10/1973","10/31/1975",7302598,"Gerald","Mahan","09/15/1973","Principal Investigator","Indiana University","Bloomington",474013654,8128550516,"509 E 3RD ST","United States","Indiana","IN",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",406,"Topological Architecture and Macromolecules","07/01/1974","08/31/1978",91500,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/25/1974","04/08/1976",7302599,"Harry","Frisch","07/01/1974","Principal Investigator","SUNY at Albany","Albany",122220100,5184374550,"1400 WASHINGTON AVE","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",407,"Solid State and Many-Body Theory","01/01/1974","01/31/1979",124400,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/29/1974","08/30/1976",7302605,"Anthony","Houghton","01/01/1974","Co-Principal Investigator","Brown University","Providence",29129002,4018632777,"BOX 1929","United States","Rhode Island","RI",1710,"CONDENSED MATTER PHYSICS","Leon","Cooper","01/01/1974","Principal Investigator",NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",408,"Optical Properties of Some Second and Third Row Transition Metal Magnetic Insulators","06/13/1974","11/30/1976",45300,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","06/13/1974","03/10/1975",7302606,"Richard","Meltzer","06/13/1974","Principal Investigator","University of Georgia","Athens",306021589,7065425939,"310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",409,"Theoretical Studies of Quantum Liquids and Crystals","11/01/1973","04/30/1977",52500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/02/1973","08/05/1976",7302609,"Susanne","Norton","11/01/1973","Principal Investigator","University of Florida","GAINESVILLE",326112002,3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",410,"Precision Determination of Stoichiometry and Disorder in Multi-Component Compounds By Vibrational Spectroscopy","04/05/1974","07/31/1979",120000,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/05/1974","11/22/1978",7302610,"Thomas","DATA NOT AVAILABLE","04/05/1974","Principal Investigator","Oregon Graduate Institute of Science & Technology","Beaverton",970068921,5036451121,"20000 NW Walker Road","United States","Oregon","OR",NA,NA,NA,"Loehr","04/05/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",411,"Perturbation Forulation of Low-Energy Electron Diffraction","10/01/1973","09/30/1978",89000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/17/1973","03/29/1976",7302614,"S.Y.","Tong","10/01/1973","Principal Investigator","University of Wisconsin-Milwaukee","Milwaukee",532010340,4142294853,"P O BOX 340","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",412,"Synthesis and Characterization of Complex Noble Metal Oxides","03/29/1974","10/05/1977",75200,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/29/1974","08/05/1976",7302616,"Bertrand","Chamberland","03/29/1974","Principal Investigator","University of Connecticut","Storrs",62691133,8604863622,"438 Whitney Road Ext.","United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",413,"Thermal Transport in Solid 3he","01/01/1974","10/31/1978",94000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/02/1974","05/06/1977",7302623,"Allan","Greenberg","01/01/1974","Co-Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO",1710,"CONDENSED MATTER PHYSICS","James","Sites","01/01/1974","Principal Investigator",NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",414,"Mechanical and Thermodynamic Property Measurementsof TitaniuM Alloys With Platinum Metals","01/01/1974","06/30/1978",138700,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/17/1974","01/22/1976",7302625,"Karl","Gingerich","01/01/1974","Co-Principal Investigator","Texas A&M University Main Campus","College Station",778454375,9798626777,"400 Harvey Mitchell Pkwy South","United States","Texas","TX",NA,NA,"Leonard","Cornwell","01/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",415,"Molecular Motion and Spin Relaxation","11/01/1973","11/30/1979",92900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/01/1973","01/19/1977",7302626,"Paul","Hubbard","11/01/1973","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",416,"Experimental and Theoretical Studies of Amorphous Semiconductors","09/01/1974","08/31/1977",48500,"Standard Grant",3070003,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/28/1974","06/09/1977",7302627,"Werner","Wolf","09/01/1974","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",1761,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",417,"Surface Ellipsometry","11/01/1973","07/31/1977",88300,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/02/1973","12/05/1975",7302628,"Nicolas","Bashara","11/01/1973","Principal Investigator","University of Nebraska-Lincoln","Lincoln",685031435,4024723171,"151 Prem S. Paul Research Center","United States","Nebraska","NE",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1772,NA,"CERAMICS & ELECTRONIC MATERIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",418,"Elucidation of Thermodynamic, Relaxation, & Structural Aspects of Disordering Trans in Liquids& Crystals, With EmpHasis on the Glass Transition in Ionic Liquids","10/01/1973","11/30/1977",52300,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/15/1973","08/08/1977",7302632,"C. Austen","Angell","10/01/1973","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",419,"Travel to Attend Third International Conference Onthe StrengTh of Metals and Alloys, Cambridge, England, 08/20-25/73","01/01/1900","06/30/1900",657,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/09/1973","08/09/1973",7302637,"J.","Gragg","01/01/1900","Principal Investigator","Travel Award","Arlington",22230,NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",420,"Travel to Attend Third International Conference Onstrength OF Metals and Alloys, Cambridge, England,08/20-25/73","01/01/1900","06/30/1900",527,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/09/1973","08/09/1973",7302642,NA,"DATA NOT AVAILABLE","01/01/1900","Principal Investigator","Travel Award","Arlington",22230,NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",421,"Electron Nuclear Double Resonance and Optical Studies Of Impurities and Defects in Crystalline Solids","11/01/1973","06/30/1977",86000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/15/1973","01/16/1976",7302648,"Robert","Mieher","11/01/1973","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",422,"Use of Electrochemical Methods in Combination Withoptical MeThods to Elucidate Corrosion Mechanisms","01/01/1974","06/30/1978",133900,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/01/1974","01/15/1976",7302650,"Rolf","Hummel","01/01/1974","Principal Investigator","University of Florida","GAINESVILLE",326112002,3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,"Ellis","Verink","01/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",423,"Transport Properties of Dilute Cadmium and Magnesium Alloys","09/01/1974","07/31/1979",138800,"Standard Grant",3070003,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","09/04/1974","03/16/1977",7302651,"Alexander","Gerritsen","09/01/1974","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",424,"Electron Spectroscopy of Solid Surfaces","02/15/1974","10/31/1978",131600,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/19/1974","05/01/1976",7302656,"Benjamin","Plummer","02/15/1974","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",425,"Coherent Optical Phenomena and Solid State Spin Resonance","11/01/1973","04/30/1978",360900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/05/1973","10/28/1976",7302658,"Erwin","Hahn","11/01/1973","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",426,"High Pressure Study of High Temperature Superconductivity","04/30/1976","04/30/1978",103500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","11/05/1973","11/06/1975",7302660,"Paul C. W.","Chu","04/30/1976","Principal Investigator","Cleveland State University","Cleveland",441152214,2166873630,"2121 Euclid Avenue","United States","Ohio","OH",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",427,"Investigation of Solid State Properties With RadioactivE Techniques","12/01/1974","06/30/1977",108800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/01/1974","01/01/1976",7302663,"Paul","Flinn","12/01/1974","Co-Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,4122689527,"5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,"Sergio","Debenedetti","12/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",428,"Low Temperature Physics","11/01/1973","10/31/1977",141400,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","H. Hollis Wickman","10/23/1973","08/31/1977",7302664,"William","Parker","11/01/1973","Principal Investigator","University of California-Irvine","Irvine",926173213,9498247295,"141 Innovation Drive, Ste 250","United States","California","CA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",429,"Magnetic Cluster Development in Nickel-Manganese Alloys","04/05/1974","12/31/1976",63600,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/05/1974","05/22/1975",7302665,"Seymour","Geller","04/05/1974","Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",430,"High Pressure Effect on Physical Properties of Glass in Comparison With Crystals","07/01/1974","12/31/1976",57900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/09/1974","08/18/1975",7302670,"Orson","Anderson","07/01/1974","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1762,NA,"SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",431,"Pressure Dependence of the Optical Properties of Covalent Solids","09/01/1974","02/28/1977",49000,"Standard Grant",3070007,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","08/19/1974","08/19/1974",7302678,"Marc","Kastner","09/01/1974","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1762,"SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",432,"Elastic Behavior of Composite and Interpenetratingnetworks","01/01/1974","12/31/1976",29600,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/12/1973","05/21/1976",7302683,"Kenneth","Smith","01/01/1974","Principal Investigator","SUNY College of Environmental Science and Forestry","Albany",122010009,3154706606,"PO Box 9","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",433,"Inhomogeneous and Anisotropic Magnetic Systems","12/01/1973","09/30/1978",79900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/24/1973","04/09/1976",7302691,"Daniel","Hone","12/01/1973","Principal Investigator","University of California-Santa Barbara","Santa Barbara",931062050,8058934188,"Office of Research","United States","California","CA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",434,"A Technology Assessment of a Hydrogen Energy Economy","07/01/1973","10/31/1975",122200,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","07/19/1973","07/14/1976",7302706,"Edward","Dickson","07/01/1973","Principal Investigator","SRI International","Menlo Park",940253493,6508592651,"333 RAVENSWOOD AVE","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",435,"Empirical Research on the Corporate Social Audit","09/01/1973","07/31/1977",208100,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","09/18/1973","06/20/1975",7302711,"Raymond","Bauer","09/01/1973","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",436,"The Conduct of Background, Theoretical, and Methodological Studies Relevant to the Goal of Inmproving the Effectiveness of R&D/Innovation Process(C820)","06/28/1973","08/31/1975",75000,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/28/1973","04/25/1979",7302712,"Albert","Rubenstein","06/28/1973","Principal Investigator","Northwestern University","Evanston",602013149,8474913003,"1801 Maple Ave.","United States","Illinois","IL",5760,"EXPER R&D INCENTIVES PRGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",437,"Applications of International Regulatory Techniques To Scientific/Technical Problems","01/15/1974","09/30/1976",318370,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","01/21/1974","03/25/1976",7302713,"David","Kay","01/15/1974","Principal Investigator","American Society of Internat Law","Washington",200082813,2029396000,"2223 Massachusett Avenue, NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",438,"Technology Assessment of Terrestrial Solar Energy Resources Development","07/16/1973","06/30/1976",289583,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","09/07/1973","07/19/1977",7302725,"Joan","Berkowitz","07/16/1973","Principal Investigator","Arthur D Little Inc","Cambridge",21402390,NA,"Acorn Park","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
